sha1	canonical_title	canonical_rom_name	dat_source	size	crc32	md5	mister_system	mister_core	expected_folder	region	release_type	license_status
6255287751bc9679b9500ac9be06cda6640d1dcc	NBA Live 97 (USA)	NBA Live 97 (USA).sfc	Nintendo - Super Nintendo Entertainment System	2097152	5115b8e5	362c3bfba31038172dba396cce3c1eec	SNES	SNES	SNES	USA	Retail/Standard	Licensed/Official
625831887786bf7ccf9b07285b5a167244eb4697	Zen-Nihon Pro Wres (Japan)	Zen-Nihon Pro Wres (Japan).sfc	Nintendo - Super Nintendo Entertainment System	2097152	e00fdc09	aa9f1998ddbdeaf0ffb2385d88ba17b6	SNES	SNES	SNES	Japan	Retail/Standard	Licensed/Official
625bac13c6163d77f95dea2c13929a3a1a972f28	Pokemon Card-e - Basic Pack - B-79-# (Japan)	Pokemon Card-e - Basic Pack - B-79-# (Japan) (Short Strip).raw	Nintendo - Game Boy Advance (e-Reader)	1872	b2d163f9	86a13aa5370b3ba0668cf0658f96b52b	GBA	GBA	GBA	Japan	Retail/Standard	Licensed/Official
625e4c19f045202de4d95262b5cd30f15c4469fe	Bomberman Max 2 - Bomberman Version (Japan)	Bomberman Max 2 - Bomberman Version (Japan).gba	Nintendo - Game Boy Advance	8388608	656cf22e	c49c26566f147a3546f7a299d55010ba	GBA	GBA	GBA	Japan	Retail/Standard	Licensed/Official
62608496ea6c8b4fa7f6e0457f5cbc79c6098c72	Pokemon Battle Card-e+ - Series 1 - 08-A042 (Japan)	Pokemon Battle Card-e+ - Series 1 - 08-A042 (Japan).raw	Nintendo - Game Boy Advance (e-Reader)	2912	bdcb1541	669863975d0e4c0006d1f86a873699de	GBA	GBA	GBA	Japan	Retail/Standard	Licensed/Official
6260894942be88fbe910242607a9d22743a4f947	Pokemon Battle Card-e+ - Series 2 - 08-B004 (Japan)	Pokemon Battle Card-e+ - Series 2 - 08-B004 (Japan).raw	Nintendo - Game Boy Advance (e-Reader)	2912	55107d42	9f0b641f063314aaa9748a666f25007e	GBA	GBA	GBA	Japan	Retail/Standard	Licensed/Official
6260e42e94e369f8bf492d4c7130170b2b619f72	Contra Force (Asia) (En) (Pirate)	Contra Force (Asia) (En) (Pirate).unh	Nintendo - Nintendo Entertainment System (Headerless)	262144	84461d48	4f83e2efb6162dc7ce84869350feaef4	NES	NES	NES	Unknown	Retail/Standard	Licensed/Official
62620a2cb01fe93388adc42da0b7cbaf53c11ba8	Shenghuo Jiangmo Lu Waizhuan - Guang Yu An De Lunhui (Taiwan) (Unl)	Shenghuo Jiangmo Lu Waizhuan - Guang Yu An De Lunhui (Taiwan) (Unl).gbc	Nintendo - Game Boy Color	2097152	808f19d7	0348787d4432c969b4af0129682468ba	GBC	GBC	GBC	Unknown	Homebrew/Unlicensed	Unlicensed
6262f1f5bed01428754628fce656aa7db712009c	Rockman EXE 6 - Kaizou Card - Part 1 - 137-A041 (Japan)	Rockman EXE 6 - Kaizou Card - Part 1 - 137-A041 (Japan).raw	Nintendo - Game Boy Advance (e-Reader)	2912	4c4df275	251b3e597d1689c39aae3f46da6ba0d3	GBA	GBA	GBA	Japan	Retail/Standard	Licensed/Official
62655484f77091f31fb6a8142af90ae58489e0e2	Blues Brothers 2000 (USA)	Blues Brothers 2000 (USA).v64	Nintendo - Nintendo 64 (ByteSwapped)	16777216	109907b5	d7f17e918ab32f64a67409dc86d89c5c	N64	N64	N64	USA	Retail/Standard	Licensed/Official
62655a52fdf492a923a7e6c0cc7a512c9fffb4b6	Sanguo Taoyuan Ji - The Story of Three Kingdoms (China) (Unl)	Sanguo Taoyuan Ji - The Story of Three Kingdoms (China) (Unl).nes	Nintendo - Nintendo Entertainment System (Headered)	524304	6383f56c	ed6ff27ad40860dfed44a394213e3a9c	NES	NES	NES	Unknown	Homebrew/Unlicensed	Unlicensed
62668e95b3bf97571ee7067874bf525cc752462f	Home Alone 2 - Lost in New York (USA)	Home Alone 2 - Lost in New York (USA).nes	Nintendo - Nintendo Entertainment System (Headered)	262160	95bea38c	9b322f84556ee52233d5b9ca83f1efdd	NES	NES	NES	USA	Retail/Standard	Licensed/Official
6269ca535eea41f4bcfef99f512f435daf06c6e3	Zettai Muteki Raijin-Oh (Japan)	Zettai Muteki Raijin-Oh (Japan).gb	Nintendo - Game Boy	65536	7d03727d	e870bccbc307fb32228fa8e4545edf35	GAMEBOY	Gameboy	GAMEBOY	Japan	Retail/Standard	Licensed/Official
626d38d2933d0545c5d99c5315c932a8701e33ce	Duo Bao Xiao Yinghao - Guangming Yu An Heian Chuanshuo (China) (960270) (Unl)	Duo Bao Xiao Yinghao - Guangming Yu An Heian Chuanshuo (China) (960270) (Unl).unh	Nintendo - Nintendo Entertainment System (Headerless)	524288	c04d330d	a5550e2eb96821306d3e15d0770ad306	NES	NES	NES	Unknown	Homebrew/Unlicensed	Unlicensed
6270ccf39dd6968f9f6e7d6516f9ee233aa8cddb	Dungeons & Dragons - Eye of the Beholder (USA)	Dungeons & Dragons - Eye of the Beholder (USA).gba	Nintendo - Game Boy Advance	4194304	91b16892	3aa4f5bd135064deba3394215d4c560d	GBA	GBA	GBA	USA	Retail/Standard	Licensed/Official
6277721e2cbb35516e17313ec19afc3ab8cfb747	Pokemon-e TCG - Expedition Base Set - A-01-# - Bulbasaur (USA)	Pokemon-e TCG - Expedition Base Set - A-01-# - Bulbasaur (USA) (Long Strip).raw	Nintendo - Game Boy Advance (e-Reader)	2912	068ea716	66df98881e36ee9a0969c021443e0c10	GBA	GBA	GBA	USA	Retail/Standard	Licensed/Official
627d4f20667eded6f26a379c8477669348f3ecab	Arkanoid II (Japan) (En)	Arkanoid II (Japan) (En).unh	Nintendo - Nintendo Entertainment System (Headerless)	196608	0f141525	83a6e0d589d5c9490f757b5a115e8c06	NES	NES	NES	Japan	Retail/Standard	Licensed/Official
62809f7fb5421bbb789b0f410f3812f4f8896471	Sudo King (Asia) (En) (Unl)	Sudo King (Asia) (En) (Unl).unh	Nintendo - Nintendo Entertainment System (Headerless)	24576	bc79a10f	b10a51e9b4154f29e27526f73352b6b0	NES	NES	NES	Unknown	Homebrew/Unlicensed	Unlicensed
62816f856bb89d22c6b9264bc171c62ec4b80a58	Pokemon Card-e - Split Ground - E-70-# (Japan)	Pokemon Card-e - Split Ground - E-70-# (Japan) (Short Strip).raw	Nintendo - Game Boy Advance (e-Reader)	1872	cf635cd1	2ba2700ccb22f9739596e884322b67f4	GBA	GBA	GBA	Japan	Retail/Standard	Licensed/Official
6281d62c1cbb34b1734d20747a8e3d8de2af1443	Excitebike (Europe)	Excitebike (Europe).unh	Nintendo - Nintendo Entertainment System (Headerless)	24576	8a0c7337	16c66d6ee6827ff49e3a2efbf4b66c5a	NES	NES	NES	Europe	Retail/Standard	Licensed/Official
6282051da49c286863463af105f851aacf896563	Sanguozhi 2 - Zhongwen Jiaqiang Ban (China) (Pirate)	Sanguozhi 2 - Zhongwen Jiaqiang Ban (China) (Pirate).unh	Nintendo - Nintendo Entertainment System (Headerless)	786432	44c20420	abfcf91a4ac0961ca87db33f414e6421	NES	NES	NES	Unknown	Retail/Standard	Licensed/Official
6289a54c3968bf7e1ae715bc7624803d2ba9f5fe	Mr. Incredible (Japan)	Mr. Incredible (Japan).gba	Nintendo - Game Boy Advance	8388608	73fa8b2a	e5a317d1c71261baac40bbfb29453082	GBA	GBA	GBA	Japan	Retail/Standard	Licensed/Official
628b43501a26e4d3a7a52dc7faa8dd8938b5f262	Mega Man 3 (Europe) (Rev 1) (Virtual Console)	Mega Man 3 (Europe) (Rev 1) (Virtual Console).nes	Nintendo - Nintendo Entertainment System (Headered)	393232	50af1dd1	5f29c7e23db586c31a9f916a02b0f8fe	NES	NES	NES	Europe	Revision	Licensed/Official
628b64809e89b3bae970e01dbc0c637f1ba5ee5a	Teenage Mutant Ninja Turtles - Tournament Fighters (USA) (The Cowabunga Collection)	Teenage Mutant Ninja Turtles - Tournament Fighters (USA) (The Cowabunga Collection).sfc	Nintendo - Super Nintendo Entertainment System	2097152	36d08b33	a5af3b538c7ef7f0dadae918c09228e7	SNES	SNES	SNES	USA	Retail/Standard	Licensed/Official
628c939613699ce59a0699de1341535e414d4c51	Ultraman Club 2 - Kaettekita Ultraman Club (Japan)	Ultraman Club 2 - Kaettekita Ultraman Club (Japan).unh	Nintendo - Nintendo Entertainment System (Headerless)	262144	7980c4f7	4720fa58e54c1bdb87ac58b2e2c3584a	NES	NES	NES	Japan	Retail/Standard	Licensed/Official
629090e5f085848548dd085de79952249e1fcaec	Yu Yu Hakusho (Japan)	Yu Yu Hakusho (Japan).sfc	Nintendo - Super Nintendo Entertainment System	2097152	ec96d517	7c1b4a78dca0a2cd3acd23b419213601	SNES	SNES	SNES	Japan	Retail/Standard	Licensed/Official
6298c15ba2cc1285caa7713008a19eb09b3846f3	Pokemon Card-e - Basic Pack - B-10-# (Japan)	Pokemon Card-e - Basic Pack - B-10-# (Japan) (Long Strip).raw	Nintendo - Game Boy Advance (e-Reader)	2912	d499d580	a3f36845f96b8e74a78c325a04fffe14	GBA	GBA	GBA	Japan	Retail/Standard	Licensed/Official
629d5de4897216411e4b5d6477da5d780aef3b2a	[BIOS] Pro Action Replay (Europe) (Unl)	[BIOS] Pro Action Replay (Europe) (Unl).nes	Nintendo - Nintendo Entertainment System (Headered)	40976	cbd55de3	d0e2b142a11e6f66d96932b7a6ba43ce	NES	NES	NES	Europe	Homebrew/Unlicensed	Unlicensed
62a0169f0fe00e5f8184475a20a36877d1063f63	Mega Man - Battle Network 4 - Blue Moon (USA) (Virtual Console)	Mega Man - Battle Network 4 - Blue Moon (USA) (Virtual Console).gba	Nintendo - Game Boy Advance	8388608	739b7ec4	333c21725d933d2bc0cc2209f70afd48	GBA	GBA	GBA	USA	Retail/Standard	Licensed/Official
62a1de2d57929c891f12ad69a6269139e96c617a	Rockman EXE 5 - Kaizou Card - Part 1 - 136-A017 (Japan)	Rockman EXE 5 - Kaizou Card - Part 1 - 136-A017 (Japan).raw	Nintendo - Game Boy Advance (e-Reader)	2912	92cd7a7b	72478f831797020317d45c0692526948	GBA	GBA	GBA	Japan	Retail/Standard	Licensed/Official
62a1fe0392ffd226d954ca1a02109da58e394f1f	G.I. Joe - The Atlantis Factor (USA)	G.I. Joe - The Atlantis Factor (USA).unh	Nintendo - Nintendo Entertainment System (Headerless)	393216	8c8dedb6	680990800e767abf2d64a6cf8d8474d8	NES	NES	NES	USA	Retail/Standard	Licensed/Official
62a32807f7b848f03c60d551b1ff0b4d12114a2e	Radac Tailor-Made (Japan) (Rev 1) (Possible Proto)	Radac Tailor-Made (Japan) (Rev 1) (Possible Proto).nes	Nintendo - Nintendo Entertainment System (Headered)	131088	ec06b2be	d53dc1ed416232b81e3d0d196be80384	NES	NES	NES	Japan	Revision	Licensed/Official
62a5beea93d48445a0f16f5582fc4fc61ba9fc1b	Little Mermaid, The (Europe)	Little Mermaid, The (Europe).gb	Nintendo - Game Boy	131072	00def37a	8cfce7b63aa070b5bcdc2e1bcb56e18e	GAMEBOY	Gameboy	GAMEBOY	Europe	Retail/Standard	Licensed/Official
62a6b4db403911f74a0eaa1b726f3d127ea48242	Chinese Checkers (Asia) (En) (Unl)	Chinese Checkers (Asia) (En) (Unl).unh	Nintendo - Nintendo Entertainment System (Headerless)	49152	471173e7	cea95b1da50d552d261c54d54138dc17	NES	NES	NES	Unknown	Homebrew/Unlicensed	Unlicensed
62a7b899f2ca01bdbd0c6a0024c34c6f9afb6228	Jongbou (Japan)	Jongbou (Japan).unh	Nintendo - Nintendo Entertainment System (Headerless)	131072	a56208a0	1d994d641f646bfdbeb06b86ab26c75a	NES	NES	NES	Japan	Retail/Standard	Licensed/Official
62ac07bf4d490fee3839ad67087be5155ae0a1ed	Family School (Japan)	Family School (Japan).nes	Nintendo - Nintendo Entertainment System (Headered)	262160	7a47e189	353ccc481d3bd847525d1ba3fb6b8f7f	NES	NES	NES	Japan	Retail/Standard	Licensed/Official
62acc93fa1e3009b3a2e92d11aaf612848c1e7ff	NBA Jam (USA) (Rev 1)	NBA Jam (USA) (Rev 1).sfc	Nintendo - Super Nintendo Entertainment System	2097152	8f42cae7	6ee56e3fdfa9543ef7755a08897767ec	SNES	SNES	SNES	USA	Revision	Licensed/Official
